DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y33,M,TR,1980,219577,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y33,M,TR,2020,646886,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y34,F,TR,1966,126478,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y34,F,TR,1980,178334,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y34,F,TR,2020,627177,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y34,M,TR,1966,158059,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y34,M,TR,1980,195885,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y34,M,TR,2020,641225,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y35,F,TR,1966,448824,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y35,F,TR,1980,384345,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y35,F,TR,2020,630498,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y35,M,TR,1966,360107,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y35,M,TR,1980,306129,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y35,M,TR,2020,649520,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y36,F,TR,1966,131799,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y36,F,TR,1980,193906,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y36,F,TR,2020,620388,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y36,M,TR,1966,163152,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y36,M,TR,1980,205381,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y36,M,TR,2020,637740,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y37,F,TR,1966,117624,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y37,F,TR,1980,165798,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y37,F,TR,2020,633916,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y37,M,TR,1966,156793,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y37,M,TR,1980,181480,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y37,M,TR,2020,650019,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y38,F,TR,1966,158295,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y38,F,TR,1980,220609,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y38,F,TR,2020,700509,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y38,M,TR,1966,184951,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y38,M,TR,1980,214176,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y38,M,TR,2020,706863,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y39,F,TR,1966,89078,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y39,F,TR,1980,138371,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y39,F,TR,2020,674773,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y39,M,TR,1966,134280,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y39,M,TR,1980,160682,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y39,M,TR,2020,680617,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y4,F,TR,1966,504630,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y4,F,TR,1980,628196,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y4,F,TR,2020,649678,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y4,M,TR,1966,527015,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y4,M,TR,1980,669814,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y4,M,TR,2020,683709,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y40,F,TR,1966,417272,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y40,F,TR,1980,441663,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y40,F,TR,2020,643585,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y40,M,TR,1966,305691,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y40,M,TR,1980,301027,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y40,M,TR,2020,654613,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y41,F,TR,1966,70607,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y41,F,TR,1980,128791,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y41,F,TR,2020,622418,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y41,M,TR,1966,115789,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y41,M,TR,1980,162452,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y41,M,TR,2020,636725,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y42,F,TR,1966,87635,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y42,F,TR,1980,189335,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y42,F,TR,2020,601485,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y42,M,TR,1966,125203,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y42,M,TR,1980,201037,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y42,M,TR,2020,615982,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y43,F,TR,1966,69960,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y43,F,TR,1980,150583,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y43,F,TR,2020,555111,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y43,M,TR,1966,102903,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y43,M,TR,1980,168157,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y43,M,TR,2020,569353,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y44,F,TR,1966,55887,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y44,F,TR,1980,142245,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y44,F,TR,2020,527887,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y44,M,TR,1966,79113,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y44,M,TR,1980,146109,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y44,M,TR,2020,540225,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y45,F,TR,1966,248576,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y45,F,TR,1980,321398,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y45,F,TR,2020,597444,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y45,M,TR,1966,200568,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y45,M,TR,1980,217500,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y45,M,TR,2020,599392,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y46,F,TR,1966,51004,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y46,F,TR,1980,151517,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y46,F,TR,2020,583889,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y46,M,TR,1966,73959,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y46,M,TR,1980,188033,
ESTAT:DEMO_PJAN(1.0),24/03/22 23:00:00,A,NR,Y46,M,TR,2020,579595,
